course_id,cross_id
114750,114867
114750,120048
114763,114873
114763,120116
114844,119610
114847,117075
114850,116873
114850,120117
114867,114750
114867,120048
114871,116918
114872,119257
114873,114763
114873,120116
114875,119404
114880,117593
114883,117603
114884,117605
114884,119617
114928,120049
114936,119611
114950,115159
114976,119457
114976,119789
114991,115729
115007,115086
115022,115730
115045,115087
115046,115088
115075,116259
115086,115007
115087,115045
115088,115046
115094,119286
115096,116392
115097,116426
115103,118422
115104,118423
115119,115162
115120,115163
115133,117582
115133,118424
115138,116457
115142,120051
115159,114950
115162,115119
115163,115120
115165,117414
115166,117415
115167,117416
115168,117417
115170,117610
115170,119623
115171,117611
115171,119624
115174,115613
115178,119406
115179,117244
115180,116032
115259,115949
115259,116140
115259,116863
115259,117001
115259,117713
115259,118210
115259,118434
115259,119966
115261,115375
115262,115913
115267,115269
115269,115267
115292,115663
115321,118569
115331,118585
115346,115411
115346,117070
115346,120146
115348,115412
115348,117074
115348,120147
115368,116269
115368,119761
115369,116270
115369,119762
115370,117297
115371,117325
115372,119476
115375,115261
115411,115346
115411,117070
115411,120146
115412,117074
115412,120147
115431,115443
115443,115431
115488,119237
115613,115174
115663,115292
115694,117143
115728,117018
115729,114991
115730,115022
115740,117614
115740,119634
115744,115749
115749,115744
115750,115819
115819,115750
115894,117943
115913,115262
115914,118433
115922,117712
115925,117277
115938,118209
115939,115952
115949,115259
115949,116140
115949,116863
115949,117001
115949,117713
115949,118210
115949,118434
115949,119966
115950,118237
115951,117146
115951,118527
115952,115939
115971,119008
115971,119304
115972,119009
115972,119305
116018,119010
116018,119306
116024,119342
116025,116060
116025,116079
116025,116153
116032,115180
116051,119772
116058,119773
116059,119774
116060,116025
116060,116079
116060,116153
116079,116025
116079,116060
116079,116153
116102,119775
116117,119776
116118,119777
116140,115259
116140,115949
116140,116863
116140,117001
116140,117713
116140,118210
116140,118434
116140,119966
116141,117737
116142,117738
116142,119458
116145,116874
116145,117167
116145,117585
116146,116953
116146,117169
116146,117588
116153,116025
116153,116060
116153,116079
116170,117076
116220,117077
116220,118510
116230,119917
116259,115075
116267,119759
116268,119760
116269,115368
116269,119761
116270,115369
116270,119762
116271,119763
116277,119764
116278,119765
116279,119766
116281,119768
116283,119769
116285,119770
116288,119771
116321,116342
116337,118265
116338,118292
116338,118512
116339,118293
116341,118253
116341,118515
116342,116321
116345,116377
116346,117947
116347,117948
116360,117590
116377,116345
116382,116600
116392,115096
116421,116486
116421,116524
116424,120060
116425,120083
116457,115138
116480,117086
116481,117095
116482,120061
116483,120062
116486,116421
116486,116524
116493,117079
116495,117400
116496,117401
116524,116421
116524,116486
116546,117083
116593,117347
116600,116382
116712,117346
116745,119238
116863,115259
116863,115949
116863,116140
116863,117001
116863,117713
116863,118210
116863,118434
116863,119966
116864,118213
116865,118246
116866,118439
116867,118211
116867,118484
116868,118212
116868,118491
116873,114850
116873,120117
116874,116145
116874,117167
116874,117585
116877,116937
116878,116881
116878,116936
116881,116878
116881,116936
116904,117587
116906,119918
116907,119919
116914,119920
116918,114871
116927,120118
116936,116878
116936,116881
116937,116877
116953,116146
116953,117169
116953,117588
116990,119941
116992,119944
117001,115259
117001,115949
117001,116140
117001,116863
117001,117713
117001,118210
117001,118434
117001,119966
117018,115728
117069,117210
117070,115346
117070,115411
117070,120146
117074,115412
117074,120147
117075,114847
117076,116170
117077,116220
117077,118510
117079,116493
117083,116546
117086,116480
117090,119376
117095,116481
117105,120052
117108,120053
117128,117407
117137,119790
117143,115694
117146,115951
117146,118527
117147,119261
117148,119401
117149,117235
117150,117239
117151,120057
117152,120058
117153,120063
117154,120065
117155,120066
117156,120098
117157,120099
117167,116145
117167,116874
117167,117585
117169,116146
117169,116953
117169,117588
117210,117069
117224,114966
117227,119810
117235,117149
117239,117150
117244,115179
117250,117262
117262,117250
117271,120054
117276,117547
117277,115925
117278,116220
117278,117077
117278,118510
117297,115370
117309,119677
117325,115371
117346,116712
117347,116593
117350,117548
117351,117549
117352,117550
117353,117551
117353,119792
117353,120122
117356,117552
117360,119736
117361,117481
117361,119018
117362,119039
117364,120316
117364,117545
117364,119253
117365,119472
117368,119568
117369,119812
117384,119638
117385,119639
117389,117936
117389,119640
117390,117937
117390,119641
117392,117938
117392,119642
117393,117939
117393,119643
117396,117940
117396,119644
117397,117941
117397,119645
117400,116495
117401,116496
117407,117128
117414,115165
117415,115166
117416,115167
117417,115168
117470,117589
117470,117934
117470,119612
117478,119015
117480,117536
117481,117361
117481,119018
117520,119461
117520,119791
117536,117480
117543,119017
117544,119027
117545,117364
117545,120316
117545,119253
117546,119475
117547,117276
117548,117350
117549,117351
117550,117352
117551,117353
117551,119792
117551,120122
117552,117356
117555,119013
117580,119019
117581,119020
117582,115133
117582,118424
117583,116220
117583,117077
117583,118510
117585,116145
117585,116874
117585,117167
117586,117613
117587,116904
117588,116146
117588,116953
117588,117169
117589,117470
117589,117934
117589,119612
117590,116360
117591,117616
117592,117619
117593,114880
117594,117620
117599,117969
117601,117970
117602,117971
117603,114883
117605,114884
117605,119617
117607,117972
117608,117973
117610,115170
117610,119623
117611,115171
117611,119624
117613,117586
117614,115740
117614,119634
117616,117591
117619,117592
117620,117594
117712,115922
117713,115259
117713,115949
117713,116140
117713,116863
117713,117001
117713,118210
117713,118434
117713,119966
117714,118440
117737,116141
117738,116142
117738,119458
117934,117470
117934,117589
117934,119612
117935,118425
117935,119405
117936,117389
117936,119640
117937,117390
117937,119641
117938,117392
117938,119642
117939,117393
117939,119643
117940,117396
117940,119644
117941,117397
117941,119645
117943,115894
117947,116346
117948,116347
117969,117599
117970,117601
117971,117602
117972,117607
117973,117608
118003,118006
118006,118003
118010,118011
118011,118010
118012,118161
118013,118020
118014,118109
118020,118013
118097,119459
118098,118137
118109,118014
118113,118160
118137,118098
118160,118113
118161,118012
118168,118401
118170,118173
118170,118373
118173,118170
118173,118373
118190,118564
118194,118267
118194,118519
118194,118702
118209,115938
118210,115259
118210,115949
118210,116140
118210,116863
118210,117001
118210,117713
118210,118434
118210,119966
118211,116867
118211,118484
118212,116868
118212,118491
118213,116864
118225,118435
118237,115950
118246,116865
118253,116341
118253,118515
118254,120040
118256,120045
118260,118262
118260,118284
118260,118352
118260,118697
118262,118260
118262,118284
118262,118352
118262,118697
118265,116337
118267,118194
118267,118519
118267,118702
118284,118260
118284,118262
118284,118352
118284,118697
118292,116338
118292,118512
118293,116339
118325,118400
118325,118698
118352,118260
118352,118262
118352,118284
118352,118697
118373,118170
118373,118173
118389,118480
118390,118521
118390,118542
118400,118325
118400,118698
118401,118168
118422,115103
118423,115104
118424,115133
118424,117582
118425,117935
118425,119405
118426,118689
118428,119377
118428,119627
118429,119630
118430,119631
118432,120134
118433,115914
118434,115259
118434,115949
118434,116140
118434,116863
118434,117001
118434,117713
118434,118210
118434,119966
118435,118225
118439,116866
118440,117714
118480,118389
118484,116867
118484,118211
118491,116868
118491,118212
118506,119972
118508,120006
118509,120008
118510,116220
118510,117077
118512,116338
118512,118292
118515,116341
118515,118253
118519,118194
118519,118267
118519,118702
118521,118542
118521,118390
118527,115951
118527,117146
118542,118521
118542,118390
118564,118190
118569,115321
118585,115331
118689,118426
118697,118260
118697,118262
118697,118284
118697,118352
118698,118325
118698,118400
118702,118194
118702,118267
118702,118519
118770,115176
118811,119310
118811,119379
119008,115971
119008,119304
119009,115972
119009,119305
119010,116018
119010,119306
119013,117555
119014,119070
119018,117361
119018,117481
119019,117580
119020,117581
119022,119088
119022,119380
119022,119556
119027,117544
119038,119613
119039,117362
119046,119434
119046,119615
119055,119072
119063,119363
119064,119364
119065,119365
119066,119366
119067,119367
119068,119368
119069,119369
119070,119014
119072,119055
119074,119371
119076,119372
119077,119373
119078,119411
119088,119022
119088,119380
119088,119556
119089,119522
119089,119553
119107,119240
119172,117363
119204,119281
119204,119466
119204,119620
119232,120082
119238,116745
119240,119107
119242,119309
119242,119462
119242,119629
119251,119614
119252,119311
119252,119378
119252,119385
119253,117364
119253,120316
119253,117545
119257,114872
119259,120120
119261,117147
119281,119204
119281,119466
119281,119620
119282,119625
119286,115094
119304,115971
119304,119008
119305,115972
119305,119009
119306,116018
119306,119010
119309,119242
119309,119462
119309,119629
119310,118811
119310,119379
119311,119252
119311,119378
119311,119385
119342,116024
119376,117090
119377,118428
119377,119627
119378,119252
119378,119311
119378,119385
119379,118811
119379,119310
119380,119022
119380,119088
119380,119556
119385,119252
119385,119311
119385,119378
119388,120056
119401,117148
119404,114875
119405,117935
119405,118425
119406,115178
119411,119078
119430,119460
119434,119046
119434,119615
119457,114976
119457,119789
119458,116142
119458,117738
119459,118097
119460,119430
119461,117520
119461,119791
119462,119242
119462,119309
119462,119629
119466,119204
119466,119281
119466,119620
119469,120121
119472,117365
119475,117546
119476,115372
119522,119089
119522,119553
119553,119089
119553,119522
119556,119022
119556,119088
119556,119380
119568,117368
119610,114844
119611,114936
119612,117470
119612,117589
119612,117934
119613,119038
119614,119251
119615,119046
119615,119434
119617,114884
119617,117605
119620,119204
119620,119281
119620,119466
119621,120119
119623,115170
119623,117610
119624,115171
119624,117611
119625,119282
119627,118428
119627,119377
119629,119242
119629,119309
119629,119462
119630,118429
119631,118430
119634,115740
119634,117614
119638,117384
119639,117385
119640,117389
119640,117936
119641,117390
119641,117937
119642,117392
119642,117938
119643,117393
119643,117939
119644,117396
119644,117940
119645,117397
119645,117941
119651,119859
119651,119943
119665,119958
119677,117309
119701,120024
119702,120025
119736,117360
119759,116267
119760,116268
119761,115368
119761,116269
119762,115369
119762,116270
119763,116271
119764,116277
119765,116278
119766,116279
119768,116281
119769,116283
119770,116285
119771,116288
119772,116051
119773,116058
119774,116059
119775,116102
119776,116117
119777,116118
119789,114976
119789,119457
119790,117137
119791,117520
119791,119461
119792,117353
119792,117551
119792,120122
119796,119794
119811,119922
119812,117369
119818,120123
119836,119864
119859,119651
119859,119943
119864,119836
119888,120469
119889,120470
119890,120471
119917,116230
119918,116906
119919,116907
119921,119811
119921,119922
119922,119811
119941,116990
119943,119651
119943,119859
119944,116992
119958,119665
119966,115259
119966,115949
119966,116140
119966,116863
119966,117001
119966,117713
119966,118210
119966,118434
119972,118506
120006,118508
120008,118509
120024,119701
120025,119702
120040,118254
120041,120068
120041,120125
120045,118256
120048,114750
120048,114867
120049,114928
120050,114966
120051,115142
120052,117105
120053,117108
120054,117271
120055,119218
120056,119388
120057,117151
120058,117152
120060,116424
120061,116482
120062,116483
120063,117153
120065,117154
120066,117155
120068,120041
120068,120125
120081,120041
120081,120068
120081,120125
120082,119232
120083,116425
120098,117156
120099,117157
120114,120041
120114,120068
120114,120125
120116,114763
120116,114873
120117,114850
120117,116873
120118,116927
120119,119621
120120,119259
120121,119469
120122,117353
120122,117551
120122,119792
120123,119818
120125,120041
120125,120068
120134,118432
120146,115346
120146,115411
120146,117070
120147,115412
120147,117074
120170,120322
120273,120274
120273,120275
120273,120276
120274,120273
120274,120275
120274,120276
120275,120273
120275,120274
120275,120276
120276,120273
120276,120274
120276,120275
120316,117364
120316,117545
120316,119253
120318,120319
120319,120318
120322,120170
120469,119888
120470,119889
120471,119890
